energy,energy_error,gradient_error
-22331.08038204,0.0,0.0021
-22331.08041174,3e-05,0.0025
-22331.08044855,3.7e-05,0.0036
-22331.08042737,2.1e-05,0.013
-22331.08046428,1.6e-05,0.003
-22331.08048861,2.4e-05,0.0018
-22331.08052498,3.6e-05,0.0022
-22331.08054906,2.4e-05,0.0019
-22331.08058829,3.9e-05,0.0019
-22331.08063056,4.2e-05,0.0022
-22331.08066518,3.5e-05,0.0023
-22331.08070063,3.5e-05,0.0018
-22331.08073268,3.2e-05,0.0017
-22331.08077448,4.2e-05,0.0023
-22331.08082961,5.5e-05,0.0028
-22331.08092046,9.1e-05,0.003
-22331.08103996,0.00012,0.0027
-22331.08116846,0.00013,0.0024
-22331.08132416,0.00016,0.0033
-22331.08147782,0.00015,0.0047
-22331.08170021,0.00022,0.0035
-22331.08193069,0.00023,0.0027
-22331.08208393,0.00015,0.0034
-22331.08222248,0.00014,0.0021
-22331.08236579,0.00014,0.0026
-22331.08250305,0.00014,0.0025
-22331.08264337,0.00014,0.0024
-22331.08276292,0.00012,0.0021
-22331.08291007,0.00015,0.0025
-22331.08303621,0.00013,0.0028
