energy,energy_error,gradient_error
-22331.20939275,0.0,0.0042
-22331.20940985,1.7e-05,0.0057
-22331.20944345,3.4e-05,0.0047
-22331.20947341,3e-05,0.0067
-22331.20951192,3.9e-05,0.0011
-22331.20953392,2.2e-05,0.0022
-22331.20954721,1.3e-05,0.0022
-22331.20956427,1.7e-05,0.0012
-22331.20958405,2e-05,0.001
-22331.20960285,1.9e-05,0.0016
-22331.20961971,1.7e-05,0.0015
-22331.20963377,1.4e-05,0.001
-22331.20964799,1.4e-05,0.0014
-22331.20966434,1.6e-05,0.0018
-22331.20968511,2.1e-05,0.0019
-22331.20970326,1.8e-05,0.0014
-22331.20972188,1.9e-05,0.0014
-22331.20975169,3e-05,0.0017
-22331.20978416,3.2e-05,0.0023
-22331.20982185,3.8e-05,0.0026
-22331.20986991,4.8e-05,0.002
-22331.20993483,6.5e-05,0.0021
-22331.21002529,9e-05,0.0022
-22331.21013889,0.00011,0.0034
-22331.21024447,0.00011,0.0035
-22331.21040287,0.00016,0.0031
-22331.21062237,0.00022,0.0039
-22331.21089634,0.00027,0.0071
-22331.21123261,0.00034,0.011
-22331.21172932,0.0005,0.0099
-22331.2121145,0.00039,0.0099
-22331.21279335,0.00068,0.0068
-22331.21356315,0.00077,0.0063
-22331.21398074,0.00042,0.0051
-22331.21426357,0.00028,0.0049
-22331.21459727,0.00033,0.005
-22331.2150058,0.00041,0.0041
-22331.2152546,0.00025,0.005
-22331.21549267,0.00024,0.0043
-22331.2158148,0.00032,0.0037
-22331.21603849,0.00022,0.0031
-22331.21621149,0.00017,0.003
-22331.21641446,0.0002,0.0039
-22331.21666793,0.00025,0.0036
-22331.21685855,0.00019,0.004
-22331.21706181,0.0002,0.0044
-22331.21720982,0.00015,0.0032
-22331.21742543,0.00022,0.003
-22331.2175357,0.00011,0.0026
-22331.21763976,0.0001,0.0022
-22331.21772401,8.4e-05,0.0019
-22331.21784777,0.00012,0.0017
-22331.2179392,9.1e-05,0.0021
-22331.2180234,8.4e-05,0.0024
-22331.21812158,9.8e-05,0.002
-22331.21821412,9.3e-05,0.0023
-22331.21828467,7.1e-05,0.002
-22331.21836911,8.4e-05,0.0018
-22331.21844582,7.7e-05,0.0021
-22331.21850558,6e-05,0.0016
-22331.2185446,3.9e-05,0.0012
