energy,energy_error,gradient_error
-22330.97867668,0.0,0.0062
-22330.9786799,3.2e-06,0.0092
-22330.97871895,3.9e-05,0.0036
-22330.97869217,2.7e-05,0.011
-22330.97872963,1.1e-05,0.0017
-22330.97875037,2.1e-05,0.0016
-22330.97876981,1.9e-05,0.0014
-22330.97879286,2.3e-05,0.0011
-22330.97881792,2.5e-05,0.00099
-22330.97884042,2.3e-05,0.0013
-22330.97885543,1.5e-05,0.0019
-22330.97887548,2e-05,0.0018
-22330.97890379,2.8e-05,0.0011
-22330.97892892,2.5e-05,0.00084
-22330.97895364,2.5e-05,0.0009
-22330.9789743,2.1e-05,0.0013
-22330.97899284,1.9e-05,0.0017
-22330.97901871,2.6e-05,0.0017
-22330.97905174,3.3e-05,0.0012
-22330.97908219,3e-05,0.0011
-22330.97910386,2.2e-05,0.0019
-22330.97913363,3e-05,0.0021
-22330.97917577,4.2e-05,0.0024
-22330.97923984,6.4e-05,0.0023
-22330.97935994,0.00012,0.0026
-22330.97945683,9.7e-05,0.0035
-22330.97960282,0.00015,0.0042
-22330.9797944,0.00019,0.0045
-22330.98008615,0.00029,0.0038
-22330.98038791,0.0003,0.0048
-22330.98077675,0.00039,0.0079
-22330.98110736,0.00033,0.0038
-22330.98147817,0.00037,0.0063
-22330.98198804,0.00051,0.01
-22330.982427,0.00044,0.0072
-22330.98289725,0.00047,0.0072
-22330.983455,0.00056,0.0053
-22330.98402047,0.00057,0.0095
-22330.98438898,0.00037,0.0077
-22330.98481301,0.00042,0.006
-22330.98528393,0.00047,0.0045
-22330.98570165,0.00042,0.0037
-22330.98618454,0.00048,0.0057
-22330.98665891,0.00047,0.0055
-22330.98708814,0.00043,0.0048
-22330.98772664,0.00064,0.0067
-22330.98831924,0.00059,0.0081
-22330.9888629,0.00054,0.0052
-22330.98944273,0.00058,0.0065
-22330.99010972,0.00067,0.0061
-22330.99065815,0.00055,0.0074
-22330.99118072,0.00052,0.0067
-22330.99171875,0.00054,0.0055
-22330.99255333,0.00083,0.007
-22330.99359322,0.001,0.0074
-22330.99487736,0.0013,0.0099
-22330.99598856,0.0011,0.0083
-22330.99727703,0.0013,0.009
-22330.99909062,0.0018,0.0092
-22331.00145619,0.0024,0.0094
-22331.00359936,0.0021,0.013
-22331.00640737,0.0028,0.014
-22331.00813198,0.0017,0.012
-22331.01026427,0.0021,0.012
-22331.012311,0.002,0.01
-22331.01532955,0.003,0.011
-22331.01758995,0.0023,0.01
-22331.01991682,0.0023,0.0084
-22331.02143439,0.0015,0.0086
-22331.02345912,0.002,0.0082
-22331.02562119,0.0022,0.01
-22331.02748733,0.0019,0.0084
-22331.02926091,0.0018,0.0073
-22331.03073006,0.0015,0.0067
-22331.03170654,0.00098,0.0077
-22331.03285514,0.0011,0.009
-22331.0339674,0.0011,0.0058
-22331.03469337,0.00073,0.0041
-22331.03515919,0.00047,0.0033
-22331.0354801,0.00032,0.0037
-22331.03588132,0.0004,0.0051
-22331.03620939,0.00033,0.0034
-22331.03652093,0.00031,0.0039
-22331.03670127,0.00018,0.0031
-22331.03691656,0.00022,0.0027
-22331.03711512,0.0002,0.0028
-22331.03738943,0.00027,0.0026
-22331.03760237,0.00021,0.0026
-22331.03773908,0.00014,0.0028
-22331.03789813,0.00016,0.002
-22331.0380688,0.00017,0.0023
-22331.03817799,0.00011,0.0018
-22331.03825914,8.1e-05,0.002
-22331.03835008,9.1e-05,0.0021
-22331.03844221,9.2e-05,0.0022
-22331.03854319,0.0001,0.0023
-22331.03863903,9.6e-05,0.0017
-22331.03873733,9.8e-05,0.0015
-22331.03880715,7e-05,0.0015
-22331.03890469,9.8e-05,0.0017
