energy,energy_error,gradient_error
-22331.55927512,0.0,0.0073
-22331.55927508,4e-08,0.013
-22331.55933577,6.1e-05,0.005
-22331.55936765,3.2e-05,0.01
-22331.55953492,0.00017,0.0035
-22331.55965918,0.00012,0.0047
-22331.55980663,0.00015,0.0062
-22331.56000069,0.00019,0.007
-22331.56023291,0.00023,0.0074
-22331.56051132,0.00028,0.0071
-22331.56077519,0.00026,0.0065
-22331.56113808,0.00036,0.0051
-22331.56149806,0.00036,0.0047
-22331.56174206,0.00024,0.0062
-22331.56221007,0.00047,0.0094
-22331.56261708,0.00041,0.0082
-22331.56290009,0.00028,0.0035
-22331.56314521,0.00025,0.0038
-22331.56337341,0.00023,0.0045
-22331.56363007,0.00026,0.0052
-22331.56384363,0.00021,0.0054
-22331.56406192,0.00022,0.0038
-22331.56439735,0.00034,0.0049
-22331.56471008,0.00031,0.0057
-22331.56489956,0.00019,0.0057
-22331.56506891,0.00017,0.0033
-22331.56525813,0.00019,0.004
-22331.56547099,0.00021,0.0059
-22331.56582402,0.00035,0.0077
-22331.56619165,0.00037,0.0081
-22331.56662955,0.00044,0.0087
-22331.5670498,0.00042,0.0085
-22331.56752918,0.00048,0.007
-22331.56799467,0.00047,0.0044
-22331.56854315,0.00055,0.0043
-22331.56896779,0.00042,0.0067
-22331.56938432,0.00042,0.0085
-22331.56983497,0.00045,0.0078
-22331.57033226,0.0005,0.004
-22331.57058725,0.00025,0.004
-22331.57089371,0.00031,0.0039
-22331.57121604,0.00032,0.0045
-22331.57138984,0.00017,0.0045
-22331.57155743,0.00017,0.0036
-22331.57180835,0.00025,0.0021
-22331.57196713,0.00016,0.0024
-22331.57210781,0.00014,0.0026
-22331.57221921,0.00011,0.0032
-22331.57233785,0.00012,0.0032
-22331.57241176,7.4e-05,0.0025
-22331.57251042,9.9e-05,0.0031
-22331.57262165,0.00011,0.0036
-22331.57272108,9.9e-05,0.0023
-22331.57281459,9.4e-05,0.0016
-22331.57285427,4e-05,0.0023
-22331.57291876,6.4e-05,0.0022
-22331.57297442,5.6e-05,0.0014
-22331.57303432,6e-05,0.0016
-22331.57306877,3.4e-05,0.002
-22331.57311084,4.2e-05,0.002
-22331.57316941,5.9e-05,0.0021
-22331.57324617,7.7e-05,0.0022
-22331.57331962,7.3e-05,0.0022
-22331.57339357,7.4e-05,0.0023
-22331.57345747,6.4e-05,0.0026
-22331.5735421,8.5e-05,0.0024
-22331.5736404,9.8e-05,0.0017
-22331.57374623,0.00011,0.0029
-22331.57385902,0.00011,0.0028
-22331.57400288,0.00014,0.0027
-22331.57418747,0.00018,0.0037
-22331.57430351,0.00012,0.0027
