energy,energy_error,gradient_error
-22294.1539791,0.0,0.011
-22294.15517936,0.0012,0.011
-22294.15642149,0.0012,0.01
-22294.15818064,0.0018,0.0089
-22294.16057133,0.0024,0.0076
-22294.16364407,0.0031,0.0057
-22294.16728282,0.0036,0.0054
-22294.17089245,0.0036,0.0069
-22294.17305625,0.0022,0.0099
-22294.17397169,0.00092,0.01
-22294.17589547,0.0019,0.0074
-22294.17887038,0.003,0.0071
-22294.18176903,0.0029,0.0079
-22294.18262096,0.00085,0.01
-22294.18306607,0.00045,0.0035
-22294.18333658,0.00027,0.0036
-22294.18354671,0.00021,0.0047
-22294.18366089,0.00011,0.0028
-22294.18374997,8.9e-05,0.0032
-22294.18381705,6.7e-05,0.0021
-22294.18392828,0.00011,0.003
-22294.18402361,9.5e-05,0.0033
-22294.18411961,9.6e-05,0.0024
-22294.18421561,9.6e-05,0.0019
-22294.18427937,6.4e-05,0.0016
-22294.18434158,6.2e-05,0.0015
-22294.18438514,4.4e-05,0.0015
-22294.18442553,4e-05,0.0013
-22294.18445555,3e-05,0.0011
-22294.18447796,2.2e-05,0.001
-22294.18451122,3.3e-05,0.0011
-22294.18454471,3.3e-05,0.0013
-22294.18459491,5e-05,0.0021
-22294.18462801,3.3e-05,0.0014
-22294.18467846,5e-05,0.0014
-22294.184735,5.7e-05,0.0017
-22294.18480398,6.9e-05,0.0018
-22294.18486267,5.9e-05,0.0019
-22294.18492091,5.8e-05,0.0015
-22294.18499879,7.8e-05,0.0015
-22294.18509404,9.5e-05,0.0016
-22294.18520827,0.00011,0.0027
-22294.1853519,0.00014,0.0036
-22294.18545222,0.0001,0.0028
-22294.18554115,8.9e-05,0.0016
-22294.18565383,0.00011,0.0017
-22294.18570032,4.6e-05,0.0014
-22294.18577269,7.2e-05,0.0016
-22294.18581268,4e-05,0.0013
-22294.18584896,3.6e-05,0.00087
