energy,energy_error,gradient_error
-22331.52851662,0.0,0.0063
-22331.52853447,1.8e-05,0.0081
-22331.52857834,4.4e-05,0.0026
-22331.52859243,1.4e-05,0.011
-22331.52863781,4.5e-05,0.0048
-22331.52867407,3.6e-05,0.0032
-22331.52870095,2.7e-05,0.0029
-22331.52873428,3.3e-05,0.0036
-22331.52876787,3.4e-05,0.002
-22331.52879802,3e-05,0.0029
-22331.52882271,2.5e-05,0.002
-22331.52885042,2.8e-05,0.0029
-22331.52887745,2.7e-05,0.002
-22331.52890261,2.5e-05,0.0018
-22331.52892567,2.3e-05,0.0014
-22331.52894891,2.3e-05,0.0023
-22331.52896672,1.8e-05,0.0023
-22331.52897854,1.2e-05,0.0021
-22331.52900059,2.2e-05,0.0012
-22331.52902678,2.6e-05,0.0016
-22331.5290616,3.5e-05,0.0022
-22331.52909767,3.6e-05,0.0033
-22331.52913231,3.5e-05,0.0026
-22331.52917648,4.4e-05,0.0016
-22331.52920053,2.4e-05,0.0017
-22331.52923856,3.8e-05,0.003
-22331.52928279,4.4e-05,0.0027
-22331.52930785,2.5e-05,0.0012
-22331.52933057,2.3e-05,0.0024
-22331.52936619,3.6e-05,0.0026
-22331.52940289,3.7e-05,0.0035
-22331.52944875,4.6e-05,0.005
-22331.52950742,5.9e-05,0.0061
-22331.52958967,8.2e-05,0.0037
-22331.52967441,8.5e-05,0.0024
-22331.52972016,4.6e-05,0.0018
-22331.5297599,4e-05,0.0025
-22331.52979188,3.2e-05,0.0022
-22331.52983835,4.6e-05,0.0025
-22331.5298943,5.6e-05,0.0024
-22331.52998074,8.6e-05,0.0023
