energy,energy_error,gradient_error
-22293.85976045,0.0,0.007
-22293.86020678,0.00045,0.0073
-22293.86075933,0.00055,0.012
-22293.86156999,0.00081,0.014
-22293.86276345,0.0012,0.013
-22293.86426682,0.0015,0.013
-22293.86598078,0.0017,0.011
-22293.86697764,0.001,0.0076
-22293.86734862,0.00037,0.0064
-22293.86769781,0.00035,0.005
-22293.86815229,0.00045,0.0042
-22293.868577,0.00042,0.0028
-22293.86881465,0.00024,0.0037
-22293.86892693,0.00011,0.0031
-22293.86905167,0.00012,0.0027
-22293.86925985,0.00021,0.0019
-22293.86935879,9.9e-05,0.0025
-22293.86946382,0.00011,0.003
-22293.86958308,0.00012,0.0034
-22293.86976017,0.00018,0.0032
-22293.87001685,0.00026,0.0028
-22293.87031056,0.00029,0.0032
-22293.87054022,0.00023,0.0049
-22293.87070436,0.00016,0.004
-22293.87085364,0.00015,0.0028
-22293.87101504,0.00016,0.0019
-22293.87109605,8.1e-05,0.0023
-22293.87116672,7.1e-05,0.0023
-22293.87121906,5.2e-05,0.0021
-22293.87134707,0.00013,0.0026
-22293.87140571,5.9e-05,0.0022
-22293.87145525,5e-05,0.0018
-22293.87153772,8.2e-05,0.002
-22293.87161159,7.4e-05,0.0022
-22293.87167209,6.1e-05,0.0019
-22293.87170816,3.6e-05,0.0019
-22293.87174065,3.2e-05,0.0016
-22293.87176904,2.8e-05,0.0016
-22293.8718069,3.8e-05,0.0016
-22293.87183939,3.2e-05,0.0018
-22293.87187541,3.6e-05,0.0019
-22293.87192682,5.1e-05,0.0017
-22293.87197942,5.3e-05,0.0016
-22293.87201377,3.4e-05,0.0019
-22293.87205238,3.9e-05,0.0021
-22293.87211809,6.6e-05,0.0023
-22293.87218932,7.1e-05,0.0024
-22293.87224213,5.3e-05,0.0023
-22293.8723126,7e-05,0.0018
-22293.87239113,7.9e-05,0.0014
-22293.87249214,0.0001,0.0017
-22293.87256216,7e-05,0.002
-22293.87264316,8.1e-05,0.002
-22293.87273314,9e-05,0.0019
-22293.87283797,0.0001,0.0017
-22293.8728786,4.1e-05,0.0017
-22293.87292355,4.5e-05,0.0015
-22293.87298793,6.4e-05,0.0016
-22293.87304041,5.2e-05,0.0015
-22293.87310577,6.5e-05,0.0013
-22293.87313637,3.1e-05,0.00084
