energy,energy_error,gradient_error
-22331.04457505,0.0,0.0052
-22331.04458913,1.4e-05,0.013
-22331.04475674,0.00017,0.0034
-22331.04485484,9.8e-05,0.0038
-22331.04493266,7.8e-05,0.0041
-22331.04502254,9e-05,0.0018
-22331.04511058,8.8e-05,0.0021
-22331.04520351,9.3e-05,0.0029
-22331.0452651,6.2e-05,0.0031
-22331.04534647,8.1e-05,0.0019
-22331.04542026,7.4e-05,0.0024
-22331.04548586,6.6e-05,0.0023
-22331.045559,7.3e-05,0.0023
-22331.04564271,8.4e-05,0.0023
-22331.04571891,7.6e-05,0.0027
-22331.04576835,4.9e-05,0.0025
-22331.04582439,5.6e-05,0.0021
-22331.04589624,7.2e-05,0.0026
-22331.04596375,6.8e-05,0.0022
-22331.04602457,6.1e-05,0.0017
-22331.04606707,4.2e-05,0.0012
-22331.04609197,2.5e-05,0.001
-22331.04610498,1.3e-05,0.00094
-22331.04613164,2.7e-05,0.001
-22331.04616217,3.1e-05,0.0013
-22331.04618464,2.2e-05,0.0013
-22331.04621344,2.9e-05,0.0011
-22331.0462359,2.2e-05,0.001
-22331.04626385,2.8e-05,0.0011
-22331.04629754,3.4e-05,0.00087
-22331.0463335,3.6e-05,0.0013
-22331.04636158,2.8e-05,0.0015
-22331.04638391,2.2e-05,0.0014
-22331.04642598,4.2e-05,0.001
-22331.0464587,3.3e-05,0.0012
-22331.04649918,4e-05,0.0012
-22331.04653227,3.3e-05,0.0013
-22331.04656549,3.3e-05,0.0011
-22331.04660724,4.2e-05,0.00098
