energy,energy_error,gradient_error
-22331.5336679,0.0,0.0033
-22331.53369161,2.4e-05,0.0046
-22331.5337321,4e-05,0.0025
-22331.53376488,3.3e-05,0.0022
-22331.53380485,4e-05,0.0028
-22331.53385218,4.7e-05,0.0034
-22331.53390667,5.4e-05,0.0032
-22331.53396676,6e-05,0.0029
-22331.53403775,7.1e-05,0.0026
-22331.53411642,7.9e-05,0.0025
-22331.5341889,7.2e-05,0.0022
-22331.5343111,0.00012,0.0023
-22331.53445317,0.00014,0.0028
-22331.53457071,0.00012,0.0036
-22331.534693,0.00012,0.0051
-22331.53487116,0.00018,0.005
-22331.53515365,0.00028,0.0036
-22331.53539203,0.00024,0.0047
-22331.53551398,0.00012,0.0059
-22331.53565882,0.00014,0.0035
-22331.53583366,0.00017,0.0077
-22331.5359774,0.00014,0.0054
-22331.53609872,0.00012,0.0024
-22331.53619558,9.7e-05,0.0028
-22331.53629293,9.7e-05,0.0042
-22331.53637144,7.9e-05,0.0036
-22331.53650842,0.00014,0.0036
-22331.53666595,0.00016,0.0042
-22331.53684957,0.00018,0.0047
-22331.53697829,0.00013,0.0026
-22331.53711606,0.00014,0.0026
-22331.53729247,0.00018,0.0034
-22331.53749705,0.0002,0.0053
-22331.5377318,0.00023,0.01
-22331.53810793,0.00038,0.0048
-22331.53834816,0.00024,0.0043
-22331.53867115,0.00032,0.0047
-22331.53908091,0.00041,0.0068
-22331.53955117,0.00047,0.0078
-22331.53994132,0.00039,0.0077
-22331.54047071,0.00053,0.0059
-22331.54079811,0.00033,0.0039
-22331.54108277,0.00028,0.0031
-22331.5413207,0.00024,0.004
-22331.5414894,0.00017,0.0046
-22331.54167204,0.00018,0.0036
-22331.54181601,0.00014,0.0037
