energy,energy_error,gradient_error
-22198.79040448,0.0,0.0081
-22198.79053955,0.00014,0.0052
-22198.79071429,0.00017,0.0056
-22198.79089988,0.00019,0.0046
-22198.79114044,0.00024,0.0039
-22198.79144512,0.0003,0.0043
-22198.79177793,0.00033,0.0048
-22198.79207069,0.00029,0.0057
-22198.79222412,0.00015,0.0046
-22198.79243026,0.00021,0.0037
-22198.79260744,0.00018,0.0026
-22198.79282162,0.00021,0.0053
-22198.79294166,0.00012,0.0048
-22198.79310999,0.00017,0.005
-22198.79328591,0.00018,0.0038
-22198.79344714,0.00016,0.0034
-22198.79354233,9.5e-05,0.0033
-22198.79365103,0.00011,0.0041
-22198.79377394,0.00012,0.0041
-22198.79392312,0.00015,0.0033
-22198.79398138,5.8e-05,0.0027
-22198.79403025,4.9e-05,0.0026
-22198.79406771,3.7e-05,0.0031
-22198.79411761,5e-05,0.0028
-22198.79416146,4.4e-05,0.0016
-22198.79419432,3.3e-05,0.0012
-22198.79421258,1.8e-05,0.0014
-22198.7942372,2.5e-05,0.0016
-22198.79426106,2.4e-05,0.0014
-22198.79428757,2.7e-05,0.0013
-22198.79431892,3.1e-05,0.0011
-22198.79435394,3.5e-05,0.0016
-22198.79440071,4.7e-05,0.0022
-22198.79445355,5.3e-05,0.0022
-22198.79453377,8e-05,0.002
-22198.79461877,8.5e-05,0.0017
-22198.79467211,5.3e-05,0.002
-22198.79473247,6e-05,0.0016
-22198.79480587,7.3e-05,0.0018
-22198.79490311,9.7e-05,0.0022
-22198.79500803,0.0001,0.0036
-22198.79510351,9.5e-05,0.0025
-22198.79517732,7.4e-05,0.0041
-22198.79527714,0.0001,0.0034
-22198.79531854,4.1e-05,0.009
-22198.79542623,0.00011,0.0013
-22198.79548545,5.9e-05,0.0013
-22198.7955181,3.3e-05,0.0022
-22198.79554571,2.8e-05,0.00091
-22198.79558809,4.2e-05,0.0011
-22198.79563136,4.3e-05,0.0015
-22198.79565114,2e-05,0.00093
-22198.79568319,3.2e-05,0.0011
-22198.79571644,3.3e-05,0.002
-22198.79574559,2.9e-05,0.002
-22198.79578021,3.5e-05,0.0019
-22198.79580154,2.1e-05,0.0012
-22198.79581323,1.2e-05,0.00079
-22198.79582869,1.5e-05,0.00082
-22198.79585844,3e-05,0.0013
-22198.79588337,2.5e-05,0.0018
-22198.79593033,4.7e-05,0.0024
-22198.79598604,5.6e-05,0.0013
-22198.79603829,5.2e-05,0.002
-22198.79610598,6.8e-05,0.0018
-22198.79616645,6e-05,0.0018
-22198.79622552,5.9e-05,0.0022
-22198.79635032,0.00012,0.0028
-22198.79655852,0.00021,0.0031
-22198.79685521,0.0003,0.0036
-22198.79705521,0.0002,0.0038
-22198.79761253,0.00056,0.01
-22198.79817662,0.00056,0.0067
-22198.79942297,0.0012,0.021
-22198.8011241,0.0017,0.016
-22198.80259063,0.0015,0.0063
-22198.80496498,0.0024,0.012
