energy,energy_error,gradient_error
-22331.55070679,0.0,0.0037
-22331.55072025,1.3e-05,0.012
-22331.55080751,8.7e-05,0.005
-22331.55088272,7.5e-05,0.0051
-22331.55094514,6.2e-05,0.0039
-22331.5509898,4.5e-05,0.0019
-22331.55103745,4.8e-05,0.0025
-22331.55108184,4.4e-05,0.0033
-22331.55112509,4.3e-05,0.0033
-22331.5511784,5.3e-05,0.002
-22331.55123799,6e-05,0.0017
-22331.55128775,5e-05,0.0023
-22331.55135166,6.4e-05,0.0025
-22331.55138977,3.8e-05,0.0017
-22331.55141248,2.3e-05,0.0015
-22331.55145437,4.2e-05,0.0012
-22331.55149489,4.1e-05,0.0022
-22331.55155064,5.6e-05,0.0027
-22331.55160536,5.5e-05,0.0023
-22331.55167372,6.8e-05,0.002
-22331.5517711,9.7e-05,0.0024
-22331.55186854,9.7e-05,0.0031
-22331.5520156,0.00015,0.0032
-22331.55210339,8.8e-05,0.0022
-22331.55218141,7.8e-05,0.002
-22331.55231376,0.00013,0.0026
-22331.55243524,0.00012,0.0034
-22331.55252395,8.9e-05,0.0038
-22331.55263968,0.00012,0.0039
-22331.55284635,0.00021,0.0032
-22331.55303517,0.00019,0.0029
-22331.55321146,0.00018,0.0036
-22331.55349145,0.00028,0.0049
-22331.55376872,0.00028,0.0054
-22331.55421686,0.00045,0.0044
-22331.55452045,0.0003,0.0047
-22331.5549045,0.00038,0.0044
-22331.55541529,0.00051,0.0036
-22331.55582375,0.00041,0.0044
-22331.55622788,0.0004,0.0043
-22331.55664344,0.00042,0.0044
-22331.55715864,0.00052,0.0042
-22331.55766852,0.00051,0.0034
-22331.55810619,0.00044,0.0052
-22331.5585027,0.0004,0.0049
-22331.55877864,0.00028,0.0047
-22331.55958464,0.00081,0.0047
-22331.55990339,0.00032,0.0042
-22331.56010579,0.0002,0.0039
-22331.56032575,0.00022,0.0035
-22331.56090676,0.00058,0.0038
-22331.56124811,0.00034,0.0059
-22331.56159599,0.00035,0.0054
-22331.56197178,0.00038,0.0041
-22331.56221825,0.00025,0.0036
-22331.56248027,0.00026,0.004
-22331.56263174,0.00015,0.0046
