energy,energy_error,gradient_error
-22314.95596583,0.0,0.007
-22314.95671907,0.00075,0.007
-22314.95750613,0.00079,0.0063
-22314.95862536,0.0011,0.006
-22314.96017057,0.0015,0.0054
-22314.96223419,0.0021,0.0045
-22314.96482598,0.0026,0.0035
-22314.96774161,0.0029,0.0046
-22314.97031139,0.0026,0.0082
-22314.97139497,0.0011,0.0092
-22314.97223067,0.00084,0.006
-22314.973774,0.0015,0.0071
-22314.97582178,0.002,0.0076
-22314.97652389,0.0007,0.0082
-22314.97671178,0.00019,0.0049
-22314.97681101,9.9e-05,0.0026
-22314.97688487,7.4e-05,0.0021
-22314.97693831,5.3e-05,0.0016
-22314.97698562,4.7e-05,0.0017
-22314.97700681,2.1e-05,0.0015
-22314.97702617,1.9e-05,0.0012
-22314.97704511,1.9e-05,0.0012
-22314.97707465,3e-05,0.0011
-22314.97710144,2.7e-05,0.001
-22314.97713679,3.5e-05,0.0011
-22314.9771689,3.2e-05,0.0011
-22314.9772044,3.6e-05,0.0014
-22314.97726459,6e-05,0.0016
-22314.97733266,6.8e-05,0.0018
-22314.97737843,4.6e-05,0.0021
-22314.97743225,5.4e-05,0.0019
-22314.97750094,6.9e-05,0.0018
-22314.97757198,7.1e-05,0.0018
-22314.97765848,8.6e-05,0.002
