energy,energy_error,gradient_error
-22314.87699391,0.0,0.0059
-22314.8770704,7.6e-05,0.0069
-22314.87719813,0.00013,0.0035
-22314.8773213,0.00012,0.0027
-22314.87748032,0.00016,0.0043
-22314.87769282,0.00021,0.0058
-22314.87796755,0.00027,0.0073
-22314.87830742,0.00034,0.0085
-22314.87870611,0.0004,0.0091
-22314.87915331,0.00045,0.0092
-22314.87969976,0.00055,0.009
-22314.88030999,0.00061,0.0065
-22314.88134466,0.001,0.0094
-22314.88307102,0.0017,0.013
-22314.88467909,0.0016,0.019
-22314.88641096,0.0017,0.014
-22314.88809289,0.0017,0.0098
-22314.88944346,0.0014,0.0089
-22314.89034133,0.0009,0.013
-22314.89131214,0.00097,0.012
-22314.89231874,0.001,0.0098
-22314.89349333,0.0012,0.015
-22314.89453953,0.001,0.013
-22314.89539707,0.00086,0.008
-22314.89604162,0.00064,0.0078
-22314.89675,0.00071,0.0057
-22314.89717605,0.00043,0.0052
-22314.89771291,0.00054,0.0074
-22314.89832706,0.00061,0.0073
-22314.89869604,0.00037,0.0051
-22314.89894584,0.00025,0.004
-22314.89914833,0.0002,0.0037
-22314.89937675,0.00023,0.0033
-22314.89959975,0.00022,0.0027
-22314.89981193,0.00021,0.0028
-22314.89998396,0.00017,0.0033
-22314.90019597,0.00021,0.0035
-22314.90039255,0.0002,0.0033
-22314.90056915,0.00018,0.0028
-22314.90073604,0.00017,0.0033
-22314.90089335,0.00016,0.0032
-22314.90104109,0.00015,0.0028
