energy,energy_error,gradient_error
-22314.68513505,0.0,0.0072
-22314.68589881,0.00076,0.007
-22314.68668018,0.00078,0.0068
-22314.68776778,0.0011,0.0064
-22314.68923223,0.0015,0.0058
-22314.69111062,0.0019,0.0053
-22314.69329252,0.0022,0.0047
-22314.6953614,0.0021,0.0053
-22314.69631963,0.00096,0.0079
-22314.69665336,0.00033,0.012
-22314.69714305,0.00049,0.0071
-22314.69784445,0.0007,0.0076
-22314.69864751,0.0008,0.0088
-22314.69941735,0.00077,0.0084
-22314.69994298,0.00053,0.0068
-22314.70031189,0.00037,0.0053
-22314.70110246,0.00079,0.006
-22314.7019315,0.00083,0.0078
-22314.70273474,0.0008,0.01
-22314.70303765,0.0003,0.0054
-22314.70331913,0.00028,0.0047
-22314.70360405,0.00028,0.0061
-22314.70392066,0.00032,0.0049
-22314.70424309,0.00032,0.0058
-22314.70461037,0.00037,0.0076
-22314.70502262,0.00041,0.0089
-22314.70537223,0.00035,0.0054
-22314.70565919,0.00029,0.0044
-22314.70585918,0.0002,0.0064
-22314.70608945,0.00023,0.0066
-22314.70632618,0.00024,0.0032
-22314.70654698,0.00022,0.0038
-22314.70682453,0.00028,0.0065
-22314.7071421,0.00032,0.0076
-22314.7073481,0.00021,0.0038
-22314.70752288,0.00017,0.0032
-22314.70769529,0.00017,0.0042
-22314.70788516,0.00019,0.0055
-22314.70815351,0.00027,0.006
-22314.7084723,0.00032,0.0046
-22314.70874458,0.00027,0.0037
