energy,energy_error,gradient_error
-22198.29842962,0.0,0.0075
-22198.2986529,0.00022,0.01
-22198.29902731,0.00037,0.011
-22198.29950083,0.00047,0.0094
-22198.30008246,0.00058,0.0098
-22198.30073093,0.00065,0.013
-22198.30135524,0.00062,0.014
-22198.30170889,0.00035,0.011
-22198.3020611,0.00035,0.0044
-22198.30227714,0.00022,0.0054
-22198.30243999,0.00016,0.0051
-22198.30250229,6.2e-05,0.0037
-22198.30258588,8.4e-05,0.0051
-22198.30266282,7.7e-05,0.0048
-22198.30274623,8.3e-05,0.0039
-22198.30281922,7.3e-05,0.0034
-22198.30289168,7.2e-05,0.0027
-22198.30300513,0.00011,0.0033
-22198.30316208,0.00016,0.0047
-22198.30334897,0.00019,0.0033
-22198.30345209,0.0001,0.002
-22198.30352999,7.8e-05,0.0024
-22198.3036157,8.6e-05,0.0034
-22198.30368486,6.9e-05,0.0034
-22198.30373515,5e-05,0.0021
-22198.30376782,3.3e-05,0.0012
-22198.30380203,3.4e-05,0.0018
-22198.30384352,4.1e-05,0.0021
-22198.3039052,6.2e-05,0.003
-22198.30394741,4.2e-05,0.0022
-22198.30397549,2.8e-05,0.0013
-22198.30399633,2.1e-05,0.00091
-22198.30401123,1.5e-05,0.001
-22198.30402211,1.1e-05,0.0014
-22198.3040366,1.4e-05,0.0016
-22198.3040517,1.5e-05,0.0013
-22198.30406404,1.2e-05,0.00063
-22198.30407497,1.1e-05,0.00041
-22198.30408171,6.7e-06,0.00058
-22198.30408474,3e-06,0.00044
