energy,energy_error,gradient_error
-22310.30250899,0.0,0.15
-22310.34083465,0.038,0.11
-22310.35694271,0.016,0.058
-22310.37370972,0.017,0.055
-22310.38739978,0.014,0.041
-22310.39243755,0.005,0.017
-22310.39508066,0.0026,0.014
-22310.3972828,0.0022,0.014
-22310.40013428,0.0029,0.015
-22310.40344018,0.0033,0.02
-22310.40655566,0.0031,0.026
-22310.40851143,0.002,0.019
-22310.41079487,0.0023,0.011
-22310.41229018,0.0015,0.012
-22310.41325002,0.00096,0.011
-22310.41481698,0.0016,0.012
-22310.41618989,0.0014,0.016
-22310.41698158,0.00079,0.0095
-22310.41755924,0.00058,0.01
-22310.41803554,0.00048,0.0089
-22310.41847548,0.00044,0.0076
-22310.41892452,0.00045,0.0054
-22310.41923983,0.00032,0.0049
-22310.41957838,0.00034,0.0062
-22310.41992569,0.00035,0.0058
-22310.42036288,0.00044,0.005
-22310.42086023,0.0005,0.0077
-22310.42137955,0.00052,0.0088
-22310.42193275,0.00055,0.01
-22310.42274763,0.00081,0.012
-22310.42379316,0.001,0.012
