energy,energy_error,gradient_error
-22331.03902215,0.0,0.0023
-22331.03906629,4.4e-05,0.0024
-22331.03910481,3.9e-05,0.0022
-22331.03914232,3.8e-05,0.0034
-22331.03917659,3.4e-05,0.002
-22331.03921251,3.6e-05,0.0029
-22331.03925129,3.9e-05,0.0021
-22331.03929241,4.1e-05,0.0012
-22331.0393204,2.8e-05,0.0016
-22331.03934771,2.7e-05,0.0015
-22331.03938859,4.1e-05,0.0017
-22331.03943454,4.6e-05,0.0017
-22331.03946763,3.3e-05,0.0014
-22331.03950799,4e-05,0.0015
-22331.03954876,4.1e-05,0.0015
-22331.03959508,4.6e-05,0.0018
-22331.03964618,5.1e-05,0.0017
-22331.03968685,4.1e-05,0.0014
-22331.03972577,3.9e-05,0.0019
-22331.03976705,4.1e-05,0.0017
-22331.0398175,5e-05,0.0017
-22331.03986708,5e-05,0.0019
-22331.03991374,4.7e-05,0.0017
-22331.03996709,5.3e-05,0.0017
-22331.04002736,6e-05,0.0017
-22331.04007007,4.3e-05,0.002
-22331.04012758,5.8e-05,0.0017
-22331.04018735,6e-05,0.002
-22331.0402529,6.6e-05,0.0025
-22331.04032213,6.9e-05,0.0022
-22331.04039719,7.5e-05,0.0022
-22331.04048547,8.8e-05,0.0026
-22331.04058281,9.7e-05,0.0027
-22331.0406414,5.9e-05,0.0016
-22331.04074115,0.0001,0.0019
-22331.04079225,5.1e-05,0.0015
-22331.04083702,4.5e-05,0.0015
-22331.04090064,6.4e-05,0.0016
-22331.04096376,6.3e-05,0.0017
