energy,energy_error,gradient_error
-22331.53192522,0.0,0.00079
-22331.53193525,1e-05,0.00084
-22331.53194578,1.1e-05,0.0007
-22331.5319587,1.3e-05,0.0007
-22331.53197318,1.4e-05,0.0019
-22331.53198723,1.4e-05,0.0015
-22331.53199569,8.5e-06,0.00081
-22331.53200299,7.3e-06,0.00062
-22331.53201673,1.4e-05,0.00051
-22331.53202596,9.2e-06,0.00072
-22331.5320319,5.9e-06,0.00059
-22331.5320376,5.7e-06,0.00065
-22331.53204538,7.8e-06,0.00071
-22331.5320535,8.1e-06,0.00053
-22331.53206024,6.7e-06,0.00063
-22331.53206435,4.1e-06,0.00061
-22331.53206818,3.8e-06,0.0005
